iter	Passed	Remaining
151	708	4004
152	713	4000
153	719	4004
154	724	4002
155	728	3995
156	733	3987
157	737	3981
158	742	3975
159	746	3968
160	751	3965
161	755	3958
162	760	3954
163	760	3954
164	765	3945
165	770	3940
166	775	3938
167	779	3931
168	784	3927
169	789	3922
170	794	3919
171	798	3913
172	804	3912
173	809	3907
174	814	3904
175	818	3900
176	824	3897
177	828	3893
178	834	3892
179	838	3883
180	843	3880
181	848	3878
182	853	3875
183	857	3866
184	862	3861
185	867	3858
186	872	3857
187	877	3853
188	882	3849
189	888	3846
190	892	3840
191	897	3836
192	902	3831
193	906	3826
194	911	3820
195	916	3819
196	920	3811
197	925	3804
198	929	3798
199	934	3794
200	939	3789
201	943	3784
202	948	3779
203	952	3773
204	956	3765
205	960	3757
206	964	3749
207	968	3740
208	971	3731
209	974	3719
210	977	3706
211	981	3700
212	985	3695
213	990	3689
214	995	3686
215	999	3679
216	1002	3667
217	1006	3660
218	1011	3656
219	1014	3647
220	1019	3642
221	1024	3639
222	1029	3634
223	1033	3628
224	1037	3622
225	1042	3619
226	1046	3611
227	1050	3605
228	1055	3599
229	1059	3594
230	1064	3590
231	1069	3587
232	1073	3581
233	1079	3578
234	1083	3574
235	1088	3569
236	1094	3567
237	1098	3561
238	1103	3557
239	1107	3552
240	1113	3549
241	1118	3547
242	1125	3550
243	1130	3546
244	1136	3544
245	1142	3543
246	1147	3540
247	1153	3540
248	1158	3538
249	1163	3534
250	1166	3524
251	1172	3522
252	1177	3518
253	1181	3512
254	1187	3509
255	1192	3505
256	1198	3505
257	1206	3511
258	1212	3508
259	1219	3511
260	1224	3506
261	1227	3499
262	1233	3495
263	1237	3489
264	1242	3484
265	1247	3481
266	1252	3476
267	1256	3470
268	1260	3464
269	1264	3458
270	1270	3454
271	1274	3449
272	1279	3444
273	1283	3437
274	1287	3431
275	1291	3424
276	1295	3417
277	1300	3413
278	1304	3408
279	1309	3403
280	1314	3400
281	1319	3396
282	1324	3391
283	1329	3387
284	1334	3383
285	1339	3379
286	1344	3374
287	1350	3373
288	1355	3370
289	1361	3368
290	1367	3366
291	1372	3363
292	1378	3361
293	1384	3359
294	1389	3355
295	1394	3351
296	1400	3349
297	1405	3345
298	1410	3340
299	1416	3337
300	1421	3333
301	1426	3331
302	1432	3328
303	1438	3325
304	1443	3323
305	1443	3323
306	1449	3314
307	1449	3314
308	1454	3305
309	1460	3303
310	1464	3298
311	1470	3294
312	1475	3291
313	1480	3287
314	1485	3283
315	1490	3278
316	1496	3276
317	1502	3273
318	1507	3268
319	1512	3266
320	1516	3258
321	1521	3255
322	1527	3252
323	1533	3249
324	1537	3244
325	1542	3239
326	1547	3234
327	1553	3232
328	1560	3232
329	1566	3229
330	1572	3226
331	1577	3221
332	1582	3217
333	1586	3212
334	1592	3208
335	1596	3203
336	1600	3196
337	1605	3191
338	1609	3185
339	1615	3183
340	1621	3179
341	1626	3175
342	1631	3171
343	1637	3167
344	1641	3162
345	1647	3159
346	1653	3156
347	1658	3152
348	1664	3149
349	1669	3144
350	1674	3140
351	1680	3138
352	1686	3136
353	1692	3132
354	1698	3130
355	1703	3124
356	1708	3120
357	1714	3118
358	1720	3114
359	1725	3111
360	1730	3106
361	1735	3101
362	1740	3096
363	1746	3093
364	1750	3087
365	1755	3083
366	1761	3080
367	1766	3075
368	1772	3072
369	1777	3067
370	1782	3063
371	1787	3059
372	1793	3055
373	1797	3049
374	1801	3043
375	1806	3038
376	1811	3033
377	1815	3027
378	1821	3024
379	1826	3019
380	1832	3016
381	1838	3013
382	1843	3008
383	1848	3004
384	1854	3000
385	1859	2996
386	1864	2991
387	1869	2986
388	1873	2981
389	1873	2981
390	1879	2972
391	1885	2969
392	1890	2965
393	1895	2960
394	1901	2957
395	1906	2951
396	1911	2947
397	1916	2943
398	1921	2939
399	1926	2934
400	1931	2929
401	1936	2924
402	1941	2919
403	1947	2915
404	1950	2908
405	1950	2908
406	1955	2899
407	1960	2894
408	1964	2888
409	1968	2881
410	1973	2876
411	1977	2871
412	1982	2865
413	1986	2860
414	1990	2854
415	1994	2848
416	1998	2842
417	2003	2836
418	2007	2831
419	2012	2826
420	2017	2821
421	2021	2815
422	2026	2810
423	2031	2806
424	2036	2800
425	2040	2794
426	2044	2789
427	2049	2785
428	2054	2780
429	2058	2774
430	2063	2769
431	2068	2764
432	2073	2759
433	2078	2754
434	2084	2752
435	2089	2747
436	2094	2742
437	2099	2737
438	2105	2733
439	2110	2728
440	2115	2724
441	2120	2720
442	2126	2716
443	2132	2713
444	2137	2708
445	2143	2705
446	2148	2700
447	2153	2695
448	2157	2689
449	2162	2685
450	2168	2681
451	2172	2674
452	2178	2672
453	2183	2667
454	2186	2660
455	2193	2657
456	2197	2651
457	2203	2647
458	2209	2644
459	2214	2639
460	2218	2634
461	2222	2627
462	2226	2622
463	2232	2618
464	2236	2611
465	2239	2605
466	2244	2600
467	2249	2596
468	2255	2592
469	2260	2587
470	2264	2582
471	2271	2578
472	2275	2573
473	2281	2569
474	2287	2566
475	2294	2563
476	2299	2558
477	2305	2555
478	2310	2550
479	2316	2546
480	2321	2542
481	2326	2537
482	2332	2533
483	2337	2528
484	2342	2523
485	2347	2519
486	2353	2515
487	2358	2510
488	2363	2505
489	2369	2501
490	2373	2495
491	2377	2490
492	2382	2485
493	2387	2480
494	2392	2476
495	2397	2470
496	2401	2465
497	2406	2460
498	2410	2454
499	2410	2454
500	2416	2445
501	2420	2439
502	2425	2434
503	2430	2430
504	2435	2425
505	2440	2420
506	2444	2415
507	2444	2415
508	2449	2405
509	2455	2401
510	2459	2395
511	2463	2389
512	2468	2385
513	2473	2380
514	2477	2374
515	2482	2369
516	2485	2363
517	2491	2359
518	2495	2353
519	2500	2349
520	2505	2343
521	2509	2338
522	2514	2333
523	2518	2327
524	2523	2322
525	2527	2317
526	2532	2312
527	2536	2306
528	2540	2301
529	2546	2296
530	2551	2292
531	2556	2287
532	2560	2281
533	2565	2276
534	2569	2271
535	2573	2265
536	2578	2260
537	2583	2256
538	2588	2251
539	2595	2248
540	2602	2245
541	2607	2240
542	2613	2236
543	2619	2232
544	2624	2227
545	2630	2223
546	2635	2218
547	2639	2213
548	2644	2209
549	2649	2203
550	2654	2199
551	2659	2194
552	2665	2189
553	2671	2186
554	2677	2182
555	2683	2177
556	2688	2173
557	2694	2169
558	2699	2164
559	2705	2160
560	2710	2156
561	2715	2151
562	2721	2146
563	2725	2140
564	2729	2135
565	2734	2130
566	2739	2126
567	2744	2121
568	2749	2115
569	2753	2110
570	2759	2106
571	2764	2101
572	2770	2097
573	2775	2092
574	2780	2087
575	2785	2083
576	2791	2079
577	2797	2074
578	2803	2070
579	2808	2065
580	2813	2060
581	2818	2056
582	2823	2051
583	2828	2046
584	2834	2042
585	2839	2037
586	2844	2032
587	2849	2027
588	2855	2023
589	2859	2018
590	2865	2013
591	2870	2008
592	2874	2003
593	2879	1998
594	2884	1993
595	2888	1987
596	2893	1982
597	2893	1982
598	2898	1973
599	2904	1969
600	2910	1965
601	2915	1960
602	2920	1955
603	2920	1955
604	2925	1945
605	2931	1941
606	2936	1936
607	2941	1931
608	2944	1925
609	2949	1920
610	2953	1914
611	2957	1909
612	2961	1903
613	2964	1897
614	2968	1892
615	2972	1886
616	2976	1881
617	2980	1875
618	2984	1870
619	2989	1865
620	2989	1865
621	2994	1855
622	2999	1850
623	3003	1845
624	3007	1840
625	3007	1840
626	3012	1830
627	3016	1824
628	3021	1820
629	3027	1815
630	3031	1810
631	3035	1804
632	3040	1799
633	3045	1794
634	3050	1789
635	3055	1785
636	3059	1779
637	3063	1774
638	3068	1769
639	3072	1764
640	3076	1758
641	3080	1753
642	3084	1747
643	3089	1742
644	3094	1738
645	3098	1732
646	3103	1728
647	3108	1723
648	3114	1718
649	3118	1713
650	3123	1708
651	3127	1703
652	3132	1698
653	3137	1693
654	3142	1688
655	3146	1683
656	3150	1678
657	3155	1673
658	3161	1668
659	3165	1663
660	3170	1658
661	3175	1653
662	3180	1648
663	3185	1643
664	3189	1638
665	3196	1635
666	3201	1630
667	3207	1625
668	3212	1621
669	3217	1616
670	3223	1611
671	3228	1607
672	3233	1602
673	3238	1597
674	3243	1592
675	3247	1587
676	3252	1582
677	3256	1576
678	3261	1571
679	3265	1566
680	3271	1562
681	3275	1556
682	3279	1551
683	3284	1546
684	3289	1541
685	3294	1537
686	3298	1531
687	3304	1527
688	3307	1521
689	3312	1516
690	3318	1512
691	3323	1507
692	3327	1502
693	3332	1497
694	3337	1492
695	3343	1488
696	3347	1482
697	3352	1477
698	3357	1473
699	3362	1468
700	3368	1463
701	3372	1458
702	3378	1454
703	3382	1449
704	3387	1444
705	3392	1439
706	3397	1434
707	3402	1429
708	3407	1424
709	3412	1419
710	3418	1415
711	3423	1410
712	3429	1405
713	3434	1401
714	3439	1396
715	3443	1391
716	3448	1386
717	3453	1381
718	3458	1376
719	3464	1371
720	3469	1367
721	3473	1362
722	3478	1356
723	3482	1351
724	3486	1346
725	3489	1340
726	3492	1335
727	3496	1330
728	3500	1325
729	3504	1319
730	3509	1314
731	3513	1309
732	3517	1304
733	3522	1299
734	3525	1294
735	3529	1288
736	3534	1283
737	3537	1278
738	3541	1273
739	3546	1268
740	3551	1263
741	3557	1258
742	3562	1254
743	3567	1249
744	3567	1249
745	3572	1239
746	3576	1234
747	3581	1229
748	3586	1224
749	3591	1219
750	3591	1219
751	3597	1210
752	3601	1205
753	3607	1200
754	3611	1195
755	3616	1190
756	3621	1185
757	3625	1180
758	3625	1180
759	3630	1171
760	3635	1166
761	3640	1161
762	3645	1156
763	3645	1156
764	3649	1146
765	3655	1141
766	3660	1137
767	3664	1132
768	3669	1127
769	3673	1122
770	3677	1116
771	3681	1111
772	3687	1107
773	3692	1102
774	3696	1097
775	3701	1092
776	3704	1087
777	3708	1081
778	3713	1076
779	3713	1076
780	3718	1067
781	3722	1062
782	3727	1057
783	3732	1052
784	3732	1052
785	3736	1042
786	3741	1037
787	3746	1032
788	3751	1027
789	3756	1023
790	3761	1018
791	3765	1013
792	3771	1008
793	3776	1003
794	3781	998
795	3786	994
796	3786	994
797	3790	984
798	3795	979
799	3795	979
800	3801	969
801	3805	964
802	3809	959
803	3814	954
804	3819	949
805	3822	944
806	3822	944
807	3827	934
808	3832	930
809	3836	925
810	3836	925
811	3841	915
812	3847	910
813	3852	905
814	3857	900
815	3861	896
816	3866	891
817	3871	886
818	3875	881
819	3880	876
820	3885	871
821	3890	866
822	3894	861
823	3898	856
824	3902	851
825	3907	846
826	3911	841
827	3915	836
828	3919	831
829	3924	826
830	3929	821
831	3932	816
832	3936	811
833	3940	806
834	3944	801
835	3948	796
836	3952	791
837	3956	786
838	3960	781
839	3964	776
840	3968	771
841	3973	766
842	3977	761
843	3983	756
844	3987	751
845	3992	747
846	3996	742
847	4000	737
848	4004	732
849	4008	727
850	4013	722
851	4018	717
852	4022	712
853	4027	707
854	4032	702
855	4036	697
856	4040	692
857	4046	688
858	4051	683
859	4056	678
860	4061	673
861	4067	668
862	4071	664
863	4076	659
864	4081	654
865	4086	649
866	4091	644
867	4097	640
868	4102	635
869	4106	630
870	4112	625
871	4116	620
872	4121	615
873	4126	610
874	4131	606
875	4137	601
876	4142	596
877	4147	591
878	4152	586
879	4157	582
880	4162	577
881	4166	572
882	4170	567
883	4175	562
884	4180	557
885	4185	552
886	4189	547
887	4195	543
888	4200	538
889	4203	533
890	4208	528
891	4213	523
892	4217	518
893	4222	513
894	4227	509
895	4233	504
896	4238	499
897	4244	494
898	4249	489
899	4254	485
900	4260	480
901	4265	475
902	4269	470
903	4274	465
904	4278	460
905	4283	455
906	4287	451
907	4293	446
908	4297	441
909	4303	436
910	4308	431
911	4312	426
912	4317	422
913	4323	417
914	4327	412
915	4332	407
916	4336	402
917	4342	397
918	4346	392
919	4351	388
920	4357	383
921	4361	378
922	4366	373
923	4371	368
924	4376	363
925	4382	359
926	4388	354
927	4393	349
928	4398	344
929	4402	339
930	4408	335
931	4413	330
932	4418	325
933	4425	320
934	4431	315
935	4437	311
936	4443	306
937	4449	301
938	4454	296
939	4461	291
940	4467	287
941	4472	282
942	4477	277
943	4483	272
944	4488	267
945	4493	262
946	4499	258
947	4504	253
948	4504	253
949	4504	253
950	4510	238
951	4514	233
952	4520	228
953	4525	224
954	4530	219
955	4536	214
956	4541	209
957	4546	204
958	4552	199
959	4557	194
960	4562	190
961	4569	185
962	4574	180
963	4578	175
964	4584	170
965	4589	165
966	4595	160
967	4601	156
968	4606	151
969	4611	146
970	4617	141
971	4622	136
972	4627	131
973	4633	126
974	4638	122
975	4643	117
976	4647	112
977	4652	107
978	4657	102
979	4661	97
980	4667	92
981	4671	87
982	4675	82
983	4680	78
984	4685	73
985	4690	68
986	4694	63
987	4699	58
988	4703	53
989	4707	48
990	4712	43
991	4717	39
992	4722	34
993	4726	29
994	4730	24
995	4735	19
996	4739	14
997	4744	9
998	4748	4
999	4754	0
