iter	MultiClass
0	1.319409409
1	1.263920703
2	1.219632792
3	1.181731261
4	1.148108039
5	1.114221175
6	1.090013148
7	1.06572761
8	1.042689288
9	1.023691263
10	1.00625056
11	0.9896099838
12	0.9735186977
13	0.9585892285
14	0.9457358664
15	0.9333758584
16	0.9190091727
17	0.9087301474
18	0.8974900908
19	0.8860435658
20	0.8765365321
21	0.8691038863
22	0.8593720752
23	0.8513333558
24	0.8436493403
25	0.8372285507
26	0.8303481845
27	0.8225060342
28	0.8147187005
29	0.8093883354
30	0.8036269587
31	0.7966083125
32	0.7908854437
33	0.7863232389
34	0.7807793838
35	0.7755932568
36	0.7712286336
37	0.7673150662
38	0.7617739651
39	0.7578314003
40	0.7526774899
41	0.7487696558
42	0.7450227082
43	0.7414604956
44	0.7390886588
45	0.7348695395
46	0.7313613326
47	0.7274956744
48	0.7240877481
49	0.7219224862
50	0.7193110785
51	0.7156065128
52	0.7129784124
53	0.7091260153
54	0.706713009
55	0.7026608157
56	0.6993147086
57	0.6971157
58	0.6943167126
59	0.6914244337
60	0.6883137357
61	0.6846126865
62	0.6825323788
63	0.6801975365
64	0.677437262
65	0.6754727985
66	0.6719546328
67	0.6703266922
68	0.6690146785
69	0.6666252709
70	0.6654854642
71	0.662685839
72	0.6606590746
73	0.658949074
74	0.6577347338
75	0.6559442185
76	0.6536081209
77	0.651378613
78	0.6487600867
79	0.6472831059
80	0.64483263
81	0.6418272246
82	0.6393377444
83	0.6367345828
84	0.634663934
85	0.6325655719
86	0.6304609095
87	0.6284894793
88	0.6269522164
89	0.6252795158
90	0.6233751106
91	0.6219475771
92	0.620172787
93	0.6176622908
94	0.6161006086
95	0.6146977385
96	0.6127061441
97	0.6115381883
98	0.6098053765
99	0.6083441976
100	0.6061981388
101	0.6045154224
102	0.6031089616
103	0.6018007933
104	0.5999741361
105	0.5990906122
106	0.5976798647
107	0.5966558052
108	0.5938440028
109	0.5928803837
110	0.5910359422
111	0.5889073304
112	0.5872955055
113	0.585973321
114	0.5847056071
115	0.5829248503
116	0.5817568462
117	0.580807552
118	0.5796742903
119	0.5789737708
120	0.5774414102
121	0.57609613
122	0.575235776
123	0.5735419955
124	0.5720440508
125	0.5704220768
126	0.5694575286
127	0.5678757721
128	0.566374717
129	0.5653301424
130	0.5639052133
131	0.5626989212
132	0.5609011917
133	0.5602392987
134	0.5578710069
135	0.556844554
136	0.5556388448
137	0.5547488239
138	0.5537051974
139	0.5528787267
140	0.5511324187
141	0.5497346011
142	0.5482064691
143	0.5466543212
144	0.5456527653
145	0.5443462705
146	0.5433864079
147	0.5424831846
148	0.5413520103
149	0.5399466187
150	0.5382496279
151	0.5374721508
152	0.5366658215
153	0.5355699292
154	0.5342016382
155	0.5333465462
156	0.5324905419
157	0.5309571551
158	0.529278811
159	0.5279083499
160	0.5269027963
161	0.525965828
162	0.5245502815
163	0.5234564176
164	0.5223539098
165	0.521148154
166	0.5204796952
167	0.519051018
168	0.5179666272
169	0.5165979416
170	0.5155918345
171	0.5145462431
172	0.5134561846
173	0.5126186062
174	0.5113518167
175	0.5103309767
176	0.50966661
177	0.5088467231
178	0.5081014107
179	0.5071280721
180	0.5062633503
181	0.5052702178
182	0.5045254656
183	0.5036184939
184	0.5029820358
185	0.5017115148
186	0.5005417603
187	0.4997308648
188	0.4992504006
189	0.4979424458
190	0.4972716489
191	0.4959467251
192	0.4948880695
193	0.4941141074
194	0.493589175
195	0.4925184227
196	0.4917037298
197	0.490961937
198	0.4900955487
199	0.4891779457
200	0.4875942135
201	0.4871152375
202	0.4864678711
203	0.4854720707
204	0.4845974427
205	0.483251968
206	0.482633402
207	0.4822389853
